English	中文	Deutsch	Note
person	人	die Person	COCO common class
cat	猫	die Katze	COCO common class
dog	狗	der Hund	COCO common class
cup	杯子	die Tasse	COCO common class
bottle	瓶子	die Flasche	COCO common class
chair	椅子	der Stuhl	COCO common class
dining table	餐桌	der Esstisch	COCO common class
cell phone	手机	das Handy	COCO common class
book	书	das Buch	COCO common class
laptop	笔记本电脑	der Laptop	COCO common class
keyboard	键盘	die Tastatur	COCO common class
mouse	鼠标	die Maus	COCO common class
backpack	背包	der Rucksack	COCO common class
umbrella	雨伞	der Regenschirm	COCO common class
banana	香蕉	die Banane	COCO common class
apple	苹果	der Apfel	COCO common class
orange	橙子	die Orange	COCO common class
car	汽车	das Auto	COCO common class
bus	公交车	der Bus	COCO common class
bicycle	自行车	das Fahrrad	COCO common class
motorcycle	摩托车	das Motorrad	COCO common class
bird	鸟	der Vogel	COCO common class
horse	马	das Pferd	COCO common class
sheep	羊	das Schaf	COCO common class
cow	牛	die Kuh	COCO common class
traffic light	交通灯	die Ampel	COCO common class
stop sign	停车标志	das Stoppschild	COCO common class
bench	长椅	die Bank	COCO common class
handbag	手提包	die Handtasche	COCO common class
suitcase	行李箱	der Koffer	COCO common class
frisbee	飞盘	die Frisbee	COCO common class
skis	滑雪板	die Skier	COCO common class
snowboard	单板滑雪板	das Snowboard	COCO common class
sports ball	运动球	der Ball	COCO common class
kite	风筝	der Drachen	COCO common class
baseball bat	棒球棒	der Baseballschläger	COCO common class
baseball glove	棒球手套	der Baseballhandschuh	COCO common class
skateboard	滑板	das Skateboard	COCO common class
surfboard	冲浪板	das Surfbrett	COCO common class
tennis racket	网球拍	der Tennisschläger	COCO common class
wine glass	酒杯	das Weinglas	COCO common class
fork	叉子	die Gabel	COCO common class
knife	刀	das Messer	COCO common class
spoon	勺子	der Löffel	COCO common class
bowl	碗	die Schüssel	COCO common class
sandwich	三明治	das Sandwich	COCO common class
broccoli	西兰花	der Brokkoli	COCO common class
carrot	胡萝卜	die Karotte	COCO common class
hot dog	热狗	der Hotdog	COCO common class
pizza	披萨	die Pizza	COCO common class
donut	甜甜圈	der Donut	COCO common class
cake	蛋糕	der Kuchen	COCO common class
couch	沙发	das Sofa	COCO common class
potted plant	盆栽	die Topfpflanze	COCO common class
bed	床	das Bett	COCO common class
toilet	马桶	die Toilette	COCO common class
tv	电视	der Fernseher	COCO common class
remote	遥控器	die Fernbedienung	COCO common class
microwave	微波炉	die Mikrowelle	COCO common class
oven	烤箱	der Ofen	COCO common class
toaster	烤面包机	der Toaster	COCO common class
sink	水槽	das Waschbecken	COCO common class
refrigerator	冰箱	der Kühlschrank	COCO common class
clock	时钟	die Uhr	COCO common class
vase	花瓶	die Vase	COCO common class
scissors	剪刀	die Schere	COCO common class
teddy bear	泰迪熊	der Teddybär	COCO common class
hair drier	吹风机	der Haartrockner	COCO common class
toothbrush	牙刷	die Zahnbürste	COCO common class
